Evento,Distancia,s-p,Estacion
2014_01_04 00_11_50_M5_7,193.154,32.175,PB09
2014_03_17 05_11_33_M6_4,176.796,27.675,GO01
2014_03_18 14_58_44_M4_4,198.406,27.7,GO01
2014_03_18 20_17_34_M4_0,97.5359,11.45,PB06
2014_03_18 21_26_46_M5_8,169.906,26.675,GO01
2014_03_22 12_59_57_M6_2,184.387,30.475,GO01
2014_03_22 13_29_59_M5_6,179.214,30.0,GO01
2014_03_23 18_20_01_M6_2,167.406,26.925,GO01
2014_03_23 20_23_04_M5_3,175.043,39.525,GO01
2014_03_24 05_22_41_M4_0,157.291,20.75,GO01
2014_03_24 11_26_37_M5_8,164.468,26.95,GO01
2014_03_24 11_40_43_M5_7,174.399,46.2,GO01
2014_03_24 12_22_19_M4_1,197.638,25.25,PB09
2014_03_24 15_45_30_M5_7,161.026,35.9,GO01
2014_03_24 19_59_42_M4_6,173.535,24.175,GO01
2014_04_01 23_46_47_M8_1,168.517,42.825,GO01
2014_04_01 23_57_56_M7_0,194.337,51.2,GO01
2014_04_02 02_52_26_M4_9,171.436,38.975,GO01
2014_04_02 04_46_19_M5_7,167.99,40.475,GO01
2014_04_02 16_50_29_M4_7,103.88,45.6,GO01
2014_04_02 19_45_49_M5_3,167.732,1.075,PB09
2014_04_02 20_34_42_M4_5,194.526,36.75,GO01
2014_04_03 01_58_29_M6_6,157.579,23.625,GO01
2014_04_03 02_56_04_M5_5,183.846,44.275,PB09
2014_04_03 09_08_57_M5_0,155.966,11.3,GO01
2014_04_03 13_01_37_M4_7,182.216,41.2,GO01
2014_04_03 15_08_07_M5_3,201.882,25.65,GO01
2014_04_04 03_18_37_M4_7,192.985,25.325,PB09
2014_04_04 16_02_42_M4_9,187.632,46.675,GO01
2014_04_05 02_22_39_M5_6,579.633,93.7,GO03
2014_04_05 06_32_08_M4_8,181.866,42.9,GO01
2014_04_05 11_58_25_M4_6,191.279,28.95,GO01
2014_04_10 00_10_32_M4_7,190.664,33.525,GO01
2014_04_11 00_01_43_M6_1,191.445,28.3,GO01
2014_04_11 12_00_51_M5_0,150.573,20.7,GO01
2014_04_14 05_56_20_M5_3,192.236,34.925,PB09
2014_04_15 16_09_35_M5_3,175.277,26.675,GO01
2014_04_15 16_21_17_M5_1,173.141,25.125,GO01
2014_04_15 17_12_20_M5_0,180.74,23.85,GO01
2014_04_20 04_23_09_M4_2,177.085,24.6,GO01
2014_04_20 07_54_56_M5_0,192.283,1.825,GO01
2014_04_21 07_10_38_M4_0,191.744,23.425,GO01
2014_04_24 04_56_50_M4_8,179.934,25.575,GO01
2014_04_24 10_26_49_M5_2,199.31,4.25,GO01
2014_05_05 02_52_03_M4_8,187.973,22.7,GO01
2014_05_05 09_02_55_M4_9,195.152,29.925,GO01
2014_05_12 11_54_28_M4_7,210.083,26.875,GO01
2014_05_15 16_20_54_M4_2,218.321,34.2,CO02
2014_05_28 10_27_03_M4_5,145.122,16.425,CO02
2014_06_04 17_04_26_M5_1,201.475,38.025,GO01
2014_06_07 19_10_58_M4_8,213.447,29.725,GO01
2014_06_19 00_31_20_M4_3,192.603,29.025,GO01
2014_06_19 09_38_35_M5_8,173.343,26.4,GO01
2014_06_19 19_59_45_M5_3,179.729,22.675,GO01
2014_06_20 20_22_27_M5_8,187.245,36.1,GO01
2014_08_23 22_32_23_M6_4,173.777,22.95,CO02
2014_10_14 09_16_43_M5_1,293.05,43.5,CO02
2014_10_23 23_38_51_M5_2,335.745,59.375,CO02
2014_10_24 00_58_46_M4_6,332.386,59.025,CO02
2014_12_02 01_00_45_M4_5,286.492,16.3,PB09
2015_01_23 01_25_37_M4_4,177.016,22.975,CO02
2015_02_14 14_47_30_M4_1,290.106,50.35,PB09
2015_02_22 05_40_18_M4_6,260.869,46.5,PB09
2015_03_02 14_02_07_M4_0,124.649,23.1,GO03
2015_05_14 15_08_01_M5_2,182.919,23.975,GO03
2015_08_12 00_14_39_M5_5,81.7123,11.575,CO02
2015_09_16 23_16_09_M6_1,474.429,110.375,GO03
2015_09_16 23_38_01_M5_9,495.827,95.4,GO03
2015_09_17 01_41_05_M6_4,414.916,66.225,AC02
2015_09_17 03_34_50_M4_6,506.703,75.925,GO03
2015_09_17 03_55_15_M6_5,448.212,79.5,GO03
2015_09_17 04_02_10_M5_7,434.926,59.375,GO03
2015_09_17 06_36_34_M5_1,360.279,65.0,PB09
2015_09_17 10_12_52_M4_9,369.515,59.675,GO03
2015_09_17 10_31_26_M5_2,396.575,54.25,GO03
2015_09_17 12_09_43_M5_3,538.457,121.425,GO03
2015_09_17 12_14_34_M5_9,604.558,94.625,GO03
2015_09_17 13_32_26_M5_9,545.231,95.6,GO03
2015_09_17 16_46_21_M4_8,457.464,64.2,GO03
2015_09_17 20_24_35_M5_0,549.739,110.875,GO03
2015_09_18 09_10_44_M6_2,563.196,123.8,GO03
2015_09_19 12_52_20_M6_2,554.393,77.5,GO03
2015_09_19 22_35_30_M4_3,375.654,52.6,GO03
2015_09_21 05_39_34_M6_1,466.305,63.825,GO03
2015_09_21 19_08_03_M4_2,473.366,73.775,GO03
2015_09_22 07_13_00_M6_0,442.244,67.625,GO03
2015_09_22 07_13_00_M6_1,441.69,67.625,GO03
2015_09_27 21_04_45_M5_4,92.4648,10.5,CO02
2015_09_29 16_46_15_M4_4,107.027,17.525,CO02
2015_10_03 18_27_52_M4_0,97.6911,15.75,CO02
2015_10_08 02_54_18_M4_1,349.539,55.475,GO03
2015_10_09 22_18_19_M4_1,357.093,50.55,GO03
2015_10_15 11_03_11_M4_7,391.013,68.625,GO03
2015_10_23 14_47_58_M4_5,376.5,58.55,GO03
2015_11_06 08_44_07_M5_4,344.924,60.375,GO03
2015_11_07 07_31_43_M6_8,385.78,62.475,GO03
2015_11_07 10_53_44_M5_7,367.072,69.15,GO03
2015_11_07 11_51_29_M4_4,371.027,61.475,GO03
2015_11_11 02_46_19_M6_9,277.582,48.1,GO03
2016_02_10 13_15_01_M4_4,107.682,14.725,CO02
2016_02_12 22_32_04_M4_8,138.17,16.925,GO01
2016_02_24 17_02_04_M4_6,155.121,20.4,CO02
2016_06_03 13_46_53_M4_2,326.85,46.6,PB09
2016_06_05 05_51_11_M5_8,187.287,23.475,CO01
2016_06_05 09_30_52_M4_0,235.809,29.2,CO02
2016_07_18 02_58_50_M5_2,94.153,12.1,CO02
2016_08_10 06_43_40_M4_5,109.87,18.325,CO02
2016_10_27 20_32_55_M5_9,318.875,61.1,CO02
2017_02_12 16_21_10_M4_9,117.343,19.15,GO03
2017_03_31 18_44_38_M5_2,79.9951,9.9,CO02
2017_04_24 21_38_30_M6_9,227.039,42.675,CO02
2017_04_28 15_58_34_M5_4,246.566,39.9,CO02
2017_04_28 16_18_41_M4_6,253.06,37.95,CO02
