Evento,Distancia,s-p,Estacion
2014_01_04 00_11_50_M5_7,439.18,63.675,PB14
2014_03_17 05_11_33_M6_4,836.615,152.625,PB14
2014_03_18 14_58_44_M4_4,911.268,155.075,PB14
2014_03_18 20_17_34_M4_0,499.035,50.775,GO03
2014_03_18 21_26_46_M5_8,847.671,143.6,GO03
2014_03_22 12_59_57_M6_2,863.744,157.975,GO03
2014_03_22 13_29_59_M5_6,878.027,149.95,PB14
2014_03_23 18_20_01_M6_2,875.792,168.625,GO03
2014_03_23 20_23_04_M5_3,860.095,145.65,PB14
2014_03_24 05_22_41_M4_0,874.798,111.2,PB14
2014_03_24 11_26_37_M5_8,859.747,150.625,PB14
2014_03_24 11_40_43_M5_7,860.142,134.5,PB14
2014_03_24 12_22_19_M4_1,884.649,94.875,PB14
2014_03_24 15_45_30_M5_7,892.428,152.075,GO03
2014_03_24 19_59_42_M4_6,892.273,143.4,GO03
2014_04_01 23_46_47_M8_1,885.172,179.425,PB14
2014_04_01 23_57_56_M7_0,849.086,143.225,GO03
2014_04_02 02_52_26_M4_9,919.834,155.95,PB14
2014_04_02 04_46_19_M5_7,833.755,139.825,GO03
2014_04_02 16_50_29_M4_7,901.078,135.425,PB14
2014_04_02 19_45_49_M5_3,795.118,155.825,GO03
2014_04_02 20_34_42_M4_5,876.802,162.875,GO03
2014_04_03 01_58_29_M6_6,801.246,124.075,GO03
2014_04_03 02_56_04_M5_5,762.802,115.025,GO03
2014_04_03 09_08_57_M5_0,488.025,71.25,PB14
2014_04_03 13_01_37_M4_7,845.587,140.025,PB14
2014_04_03 15_08_07_M5_3,787.215,124.6,GO03
2014_04_04 03_18_37_M4_7,766.666,118.4,GO03
2014_04_04 16_02_42_M4_9,793.115,124.55,GO03
2014_04_05 02_22_39_M5_6,1462.25,119.175,PB14
2014_04_05 06_32_08_M4_8,508.768,97.225,PB14
2014_04_05 11_58_25_M4_6,807.548,132.65,GO03
2014_04_10 00_10_32_M4_7,806.163,129.85,GO03
2014_04_11 00_01_43_M6_1,765.374,121.075,GO03
2014_04_11 12_00_51_M5_0,836.747,154.025,PB14
2014_04_14 05_56_20_M5_3,762.323,135.925,GO03
2014_04_15 16_09_35_M5_3,824.36,130.725,GO03
2014_04_15 16_21_17_M5_1,821.582,144.5,GO03
2014_04_15 17_12_20_M5_0,822.075,131.925,GO03
2014_04_20 04_23_09_M4_2,851.072,31.2,PB14
2014_04_20 07_54_56_M5_0,527.716,50.8,PB14
2014_04_21 07_10_38_M4_0,820.009,85.975,GO03
2014_04_24 04_56_50_M4_8,502.814,86.425,PB14
2014_04_24 10_26_49_M5_2,852.555,132.425,GO03
2014_05_05 02_52_03_M4_8,1247.32,180.325,PB14
2014_05_05 09_02_55_M4_9,1320.67,214.725,PB14
2014_05_12 11_54_28_M4_7,1173.35,61.25,GO03
2014_05_15 16_20_54_M4_2,1496.26,194.9,GO03
2014_05_28 10_27_03_M4_5,1418.58,324.4,GO03
2014_06_04 17_04_26_M5_1,1167.84,162.75,GO03
2014_06_07 19_10_58_M4_8,1257.72,177.95,GO03
2014_06_19 00_31_20_M4_3,1214.76,62.825,GO03
2014_06_19 09_38_35_M5_8,1244.65,217.75,AC02
2014_06_19 19_59_45_M5_3,1259.53,170.15,GO03
2014_06_20 20_22_27_M5_8,1266.66,208.3,GO03
2014_08_23 22_32_23_M6_4,1460.98,196.75,PB14
2014_10_14 09_16_43_M5_1,1578.28,223.8,PB14
2014_10_23 23_38_51_M5_2,1618.41,343.65,PB14
2014_10_24 00_58_46_M4_6,1615.92,97.9,PB14
2014_12_02 01_00_45_M4_5,1116.27,52.975,PB14
