evento,estacion,Distancia,s_p,s_p_man,P_Cote,S_Cote,SP_Cote
2014_01_14 10_30_33_M3_4,GO03,87.1269,8.819600000002538,10.45,735613.4380954301,735613.4382244623,11.148300000000745
2014_03_19 12_23_14_M3_5,GO01,183.1,21.55920000000333,28.625,735677.5164690859,735677.5167244624,22.06459999999788
2014_03_25 22_08_46_M3_6,GO03,147.075,15.720200000010664,17.775,735683.9230539313,735683.9232538642,17.274199999999837
2014_04_13 13_28_11_M3_7,GO01,188.937,22.294099999999162,29.1,735702.5615962702,735702.5618550067,22.35489999999845
2014_05_10 16_40_18_M3_9,GO03,90.2654,10.126300000003539,11.7,735729.6948212365,735729.6949422043,10.451600000000326
2014_04_04 07_13_19_M3_8,GO01,137.213,15.35280000000057,16.65,735693.3011599462,735693.3013723118,18.348299999997835
2015_06_24 22_23_18_M3_4,CO02,109.731,13.066200000001118,13.475,736139.933063172,736139.933219086,13.470900000000256
2015_03_13 00_22_02_M3_9,CO02,177.559,21.55919999999992,24.275,736036.0156599462,736036.0159099463,21.59999999999991
2014_05_05 12_51_27_M3_8,PB09,339.21,36.013599999998405,30.475,735724.5363180444,735724.5368351814,44.680700000004435
2014_01_20 23_32_46_M3_2,PB09,247.669,27.928899999998976,17.15,735619.9815216734,735619.9818785283,30.832199999989825
2014_04_15 01_59_32_M3_3,PB09,296.153,30.70550000000003,24.375,735704.0835362903,735704.0838965053,31.122600000000602
2014_01_04 08_25_35_M3_7,PB09,205.926,23.519000000000233,29.35,735603.3515126008,735603.3517878024,23.777399999999034
2014_01_06 12_14_04_M3_6,PB09,200.757,24.254100000005565,29.675,735605.5101607863,735605.5104964718,29.00329999999667
2014_01_11 13_43_26_M3_7,PB06,251.848,31.236299999996845,23.925,735610.5723311492,735610.5726970767,31.61609999999928
2014_01_11 13_43_26_M3_7,PB06,193.707,22.049200000001292,23.925,735610.5722515121,735610.5725327621,24.299999999995634
2014_01_11 13_43_26_M3_7,PB09,251.848,31.236299999996845,23.925,735610.5723311492,735610.5726970767,31.61609999999928
2014_01_11 13_43_26_M3_7,PB09,193.707,22.049200000001292,23.925,735610.5722515121,735610.5725327621,24.299999999995634
2014_02_24 23_30_36_M3_5,GO01,138.4,16.332699999999022,27.625,735654.9798400538,735654.9800470431,17.883800000010524
2014_03_05 23_49_40_M3_6,GO03,291.8,31.23630000000412,33.3,735663.9933150202,735663.9937716734,39.454899999997
2014_03_10 08_59_25_M3_5,PB09,179.045,19.109200000002602,15.2,735668.3749339718,735668.3751698589,20.380600000000413
2014_03_13 03_32_21_M3_5,PB06,167.668,18.006799999999203,11.75,735671.1477515121,735671.147984375,20.119399999999587
2016_05_01 01_15_43_M3_6,CO02,174.239,18.945999999999913,24.15,736451.0529045699,736451.0531653226,22.529099999999744
2015_06_20 19_49_26_M3_1,CO02,242.626,23.84580000001006,23.1,736135.8263991936,736135.8267056452,26.4774000000034
2015_02_14 15_00_04_M3_1,PB06,367.252,26.949000000000524,43.825,736009.6253007392,736009.6256334005,28.741900000000896
2014_04_11 19_08_34_M3_1,GO01,143.995,16.985999999989872,17.575,735700.7978857527,735700.798092742,17.88390000000072
2014_03_20 11_40_16_M3_1,PB06,54.8601,6.206400000002759,3.9,735678.4864099462,735678.4864825269,6.2709000000031665
2014_08_05 17_13_06_M3_0,GO01,187.279,21.885800000003655,22.675,735816.7177755376,735816.7180416667,22.993499999996857
2014_06_07 07_48_35_M3_0,GO01,153.546,17.312599999997474,19.9,735757.3256895161,735757.3258991936,18.11609999999928
2014_05_24 08_03_06_M3_2,PB06,269.752,32.25710000000254,15.55,735743.33596875,735743.3363618952,33.96770000000106
2014_07_28 10_22_40_M3_2,PB09,236.249,26.826499999995576,20.525,735808.4328301412,735808.4331779234,30.048399999999674
2014_10_17 13_30_53_M3_2,CO02,104.88,12.086199999997916,13.7,735889.5633346774,735889.5634771505,12.30970000000525
2014_09_14 13_14_23_M3_2,GO01,116.117,13.719499999999243,15.275,735856.5518642473,735856.552030914,14.400000000001455
2014_04_03 19_56_49_M3_3,PB09,220.923,24.989000000001397,23.85,735692.8315216734,735692.8318936492,32.13869999999588
2014_07_16 03_37_47_M3_3,CO02,132.084,15.434400000000096,22.3,735796.1514904235,735796.1516715391,15.648400000000038
2015_01_05 22_09_18_M3_3,CO01,183.252,21.232499999998254,24.65,735969.9234798386,735969.9237540322,23.690300000002026
